,ID,rms,rms2
0,0,50.635955604688654,7.1158945751527725
1,1,47.5562824451197,6.896106324957563
2,2,41.23105625617661,6.4211413515181714
3,3,36.18563250794437,6.0154494851128435
4,4,45.13756750202651,6.718449784141169
5,5,48.88967171090434,6.992114966939855
6,6,44.14068418137626,6.643845586810116
7,7,54.36359075704989,7.373166942166025
8,8,52.0807066004293,7.216696377181827
9,9,62.32335035923534,7.894513940657483
10,10,59.42558371610665,7.7087991098553506
11,11,62.59872203168368,7.911935416298826
12,12,60.56731791981547,7.782500749747183
13,13,61.02786248919423,7.812033185361813
14,14,66.17854637267277,8.135019752445151
15,15,71.92635122123184,8.480940467968859
16,16,71.68681887209112,8.466806887610648
17,17,70.64134766551386,8.404840728146718
18,18,73.8836923820135,8.595562365663662
19,19,57.51869261379295,7.584107898348556
20,20,51.10185906598702,7.14855643231464
21,21,51.78609852074203,7.196255868209664
22,22,57.42647473073722,7.578025780553746
23,23,68.10873659083687,8.252801741883593
24,24,64.04061211450122,8.002537854612198
25,25,85.93253167456432,9.269980133450359
26,26,85.5219270129012,9.247806605509288
27,27,80.6337398363737,8.979629159178774
28,28,72.59338812867189,8.520175357859243
29,29,78.09865555821047,8.837344372503
30,30,62.00322572253802,7.874212704933619
31,31,65.08302390024606,8.067405028895354
32,32,62.1353361622837,7.8825970442668005
33,33,60.91797764207213,7.8049969661795595
34,34,54.35991169970753,7.372917448317696
35,35,63.19177161624763,7.949325230247384
36,36,58.557663887829406,7.652297948187159
37,37,68.18210909028849,8.257245853811577
38,38,77.65693787421701,8.812317395226808
39,39,77.9089211836488,8.826603037615818
40,40,66.53420173113976,8.156849988269967
41,41,68.07348970047003,8.25066601556929
42,42,71.64077051511939,8.464087104651002
43,43,64.40807402802851,8.025464100475967
44,44,71.60726220153931,8.462107432639893
45,45,70.19544144743304,8.37827198457015
46,46,70.32211600911907,8.385828284022937
47,47,62.619485785177126,7.913247486662927
48,48,55.030900410587506,7.4182814998210675
49,49,39.9274341775176,6.3188158841287345
