,ID,rms,mean,rms2,mean2
0,0,23.22929185317538,16.4,4.8196775673457015,7.0
1,1,23.177575369309018,16.0,4.814309438466645,6.8
2,2,35.005713819318125,23.4,5.916562669263136,4.8
3,3,39.81708176147519,30.6,6.310077793615162,3.8
4,4,56.616252083655276,48.6,7.524377189087166,3.0
5,5,56.17472741366886,48.0,7.494980147650083,5.0
6,6,62.247891530557084,59.6,7.889733299076534,3.6
7,7,58.45511098270193,55.4,7.645594220379599,7.0
8,8,58.7554252814155,55.8,7.665208756545089,7.4
9,9,49.14671911735309,48.6,7.010472103742592,6.8
10,10,45.77772384031342,40.8,6.765923724098094,9.4
11,11,42.63097465458654,38.2,6.529239975264084,10.8
12,12,46.37024908279014,41.4,6.809570403688483,7.6
13,13,59.26550430056257,51.2,7.698409205840033,8.2
14,14,58.731592861082866,50.6,7.663654014964589,9.6
15,15,61.264998163714985,58.2,7.827196060130025,6.8
16,16,60.9639237582359,57.8,7.807939789613896,5.6
17,17,66.1392470474226,62.4,8.13260395245106,8.2
18,18,52.90935645044268,49.8,7.273881800692301,9.0
19,19,54.120236510939236,51.0,7.356645737762506,7.0
20,20,54.881690936048976,52.0,7.408217797557587,6.0
21,21,54.40404396733758,51.4,7.375909704391559,5.8
22,22,41.83539171562757,40.6,6.468028425697244,4.8
23,23,48.23691532426177,46.8,6.945280075292988,3.4
24,24,45.628938186199335,44.4,6.754919554384,3.4
25,25,41.20679555607303,36.4,6.419251946767087,3.6
26,26,43.669211121796096,38.6,6.6082683905692035,11.4
27,27,65.86349520030045,55.6,8.115632766476097,11.0
28,28,72.28692827890808,61.4,8.502171974202126,10.4
29,29,69.52121978216435,54.0,8.33793858109811,11.8
30,30,69.6419413859206,55.2,8.345174736691893,12.6
31,31,67.8837241170518,52.6,8.239157973789057,5.4
32,32,46.538156388065055,35.4,6.8218880369048165,8.8
33,33,24.625190354594217,21.6,4.962377490134564,10.2
34,34,40.02249367543207,34.2,6.326333351589376,9.6
35,35,47.977077860161515,44.2,6.926548769781493,8.2
36,36,47.65081321446676,43.8,6.902956845763035,8.4
37,37,45.976080737705345,38.2,6.780566402425785,5.2
38,38,53.74197614528144,47.0,7.330891906533709,5.6
39,39,49.41457274934187,43.4,7.029549967767629,5.4
40,40,49.90591147349179,43.8,7.064411615519851,6.0
41,41,52.369838647832395,46.6,7.236700812375235,7.2
42,42,52.369838647832395,46.6,7.236700812375235,7.4
43,43,46.47795176209898,41.0,6.817474001571182,6.0
44,44,43.26892649465665,37.8,6.577912016335932,6.8
45,45,52.87910740547726,43.8,7.271802211658212,5.8
46,46,54.11284505549491,45.0,7.3561433547406425,4.2
47,47,54.15902510200862,46.0,7.359281561539048,4.0
48,48,52.1957852704603,42.4,7.224665062856568,6.2
49,49,50.65372641770791,39.8,7.1171431359575665,8.6
